单词,词向量,近似top20
work,"[-0.00408762  0.05245501 -0.2951914   0.05164549  0.127661    0.17131746
  0.19898762 -0.13669966  0.01715116 -0.07651738  0.11912091 -0.04206799
 -0.139812    0.04383853 -0.07030359  0.04478193 -0.03025454 -0.05528338
  0.19976209 -0.04875415 -0.21811168  0.33393142  0.11936881  0.15515997
  0.01150452  0.12322832 -0.24480276  0.01385535 -0.02925546  0.00582879
  0.05854443 -0.05072585  0.01797501 -0.37571892  0.32841673 -0.11995926
  0.02186521 -0.05330578 -0.19477186 -0.08426069  0.24120642  0.08780857
  0.18315823  0.09865615  0.02712776 -0.10228045 -0.16118766  0.0007925
  0.180536    0.23719458]","['powell', 'task', 'views', 'peace', 'failed', 'immediately', 'positive', 'improvement', 'shall', 'nuclear', 'discussion', 'whole', 'build', 'cpc', 'essence', 'highlevel', 'put', 'evil', 'jiang', 'territory']"
cooperation,"[ 0.00203428 -0.25219026 -0.16686174  0.22149117 -0.12700851 -0.1120836
  0.23656452  0.32149944  0.04746118  0.25079414 -0.00556464  0.12782626
 -0.37203416 -0.11175678 -0.05555849  0.12743163  0.04408309 -0.02709915
 -0.13301212  0.24708109  0.0075948  -0.3460387  -0.2535806  -0.12502007
  0.21774007  0.0064717   0.15996361 -0.11750166 -0.22125976  0.02497799
 -0.01810936  0.03757456  0.03523174  0.02155575 -0.0829638   0.01954299
 -0.06231697 -0.13827975 -0.02687049  0.12190551  0.02796561 -0.00245482
 -0.05583011  0.26703438  0.15279485 -0.19842033  0.08089394 -0.06851985
 -0.10268736  0.22435716]","['role', 'parties', 'development', 'vice', 'cpc', 'failed', 'meet', 'zemin', 'first', 'caused', 'political', 'see', 'state', 'hoped', 'united', 'stressed', 'ninth', 'region', 'global', 'science']"
important,"[-1.41323313e-01 -1.53522760e-01  2.54921794e-01  1.96963817e-01
  1.04547240e-01 -5.06193489e-02  2.82930434e-01 -1.39467865e-01
  6.08812086e-02  1.57626435e-01  1.24600992e-01 -1.21060818e-01
  4.13116336e-01  2.90739052e-02  1.59088507e-01  2.80503705e-02
  7.98070803e-02  8.48705024e-02  1.38719484e-01 -4.24343452e-04
  2.05902949e-01 -1.21434465e-01  2.73513615e-01  5.64105026e-02
 -1.83182642e-01  8.47206861e-02  2.90190607e-01  4.75913584e-01
 -1.58299550e-01 -1.05631456e-01  7.52313733e-02 -2.54214466e-01
  3.65357846e-03 -3.78402531e-01  2.54194647e-01 -9.75466594e-02
 -1.41494372e-03  3.88853997e-01  2.16233432e-01 -1.71938986e-02
  2.41491169e-01 -1.49398610e-01 -1.14725664e-01 -6.55870959e-02
  2.45587319e-01  3.85244370e-01 -2.17911765e-01 -2.35066228e-02
 -3.58329892e-01 -5.03861345e-02]","['zhu', 'south', 'agriculture', 'received', 'began', 'hope', 'around', 'struggle', 'global', 'science', 'million', 'tenghui', 'macao', 'leading', 'unity', 'well', 'requirement', 'others', 'facing', 'cultural']"
national,"[-0.10839061 -0.1415741  -0.07226198  0.01014947 -0.11263219  0.491514
  0.12509748 -0.07949921  0.17749824  0.17497383 -0.1259191  -0.27288544
 -0.01538285 -0.11104671 -0.03473622 -0.15772337 -0.14181875  0.05650646
 -0.30510914 -0.7023601  -0.05389388  0.22150783  0.06446496  0.19346419
 -0.62440115 -0.01738576 -0.04294402  0.03689863 -0.12016594  0.06444651
 -0.04027164  0.05414195  0.46555746  0.04124384 -0.16491573  0.03700384
 -0.0126245  -0.07951271  0.06047091  0.00713803 -0.01295751  0.3650353
 -0.24462341 -0.13260601 -0.04953101  0.36297944 -0.1483504   0.3451022
 -0.192197    0.06013571]","['commission', 'zhu', 'western', 'asked', 'characteristics', 'ability', 'army', 'process', 'conduct', 'agriculture', 'experts', 'failed', 'session', 'day', 'others', 'increase', 'jintao', 'plane', 'profound', 'seriously']"
world,"[-1.29722342e-01 -1.41243571e-02  2.42988557e-01 -1.38988540e-01
  3.26228321e-01  6.33386895e-02 -1.60204079e-02  1.76155552e-01
  4.05335099e-01  2.10522458e-01 -7.52782300e-02 -8.92551541e-02
  1.10118702e-01  1.13099396e-01  9.94673371e-02 -1.80942059e-01
  1.43985808e-01  2.15303451e-01 -1.19826749e-01 -3.99600267e-02
  3.98243070e-02 -8.14633518e-02 -2.11912140e-01 -1.11074755e-02
 -1.78516507e-01 -5.26933894e-02 -5.69615178e-02 -8.45552459e-02
  2.53509246e-02  7.52111599e-02  3.16286110e-03  8.29017535e-02
 -3.43852378e-02  4.26899968e-03 -1.79151073e-01  2.11076513e-02
 -9.35627967e-02 -8.90603215e-02  7.65304342e-02 -3.95023488e-02
 -1.60410404e-01 -1.41994968e-01  2.34856765e-04  1.66451931e-01
  1.51412293e-01  1.53268009e-01 -2.31669456e-01  1.76174529e-02
 -3.86089389e-03 -2.61334330e-01]","['global', 'parties', 'part', 'failed', 'largescale', 'china', 'europe', 'strengthening', '40', 'progress', 'issue', 'financial', 'peace', 'political', 'current', 'history', 'changes', 'eight', 'enemy', 'positive']"
state,"[-0.16331601  0.3765555  -0.19232579 -0.22980857  0.07225059  0.31702504
 -0.12731197  0.11115287  0.00728171 -0.22117932 -0.1234002   0.49550864
  0.05196069  0.05767794 -0.07983455 -0.3733664  -0.05057093 -0.10215548
  0.14452113  0.04262703 -0.25054458 -0.1861992   0.28076297  0.05067577
 -0.14934358  0.2635289   0.15521665 -0.06670391 -0.05819    -0.07277501
  0.18349677  0.06960943 -0.19322069  0.11885138 -0.0194411   0.29213333
 -0.16630758 -0.293099    0.3179008  -0.46657258  0.19716434  0.11259386
  0.01559053 -0.00806019  0.04084992  0.2668804  -0.08150625  0.04619005
 -0.18390329 -0.06917495]","['maintained', 'agreed', 'committees', 'policy', 'province', 'japanese', 'clearly', 'deng', 'living', 'small', 'failed', 'policies', 'historical', 'positive', 'pressure', 'guiding', 'allowed', 'territory', 'regional', 'asia']"
country,"[-0.11365254  0.00159516 -0.1473599  -0.12538947  0.16549669 -0.07360996
  0.19751304  0.02006415  0.06293289 -0.15584618  0.01894074  0.1541679
 -0.03795252 -0.09076461 -0.24538048 -0.06853374 -0.07745022  0.11526023
 -0.10463495 -0.00437318 -0.05326235 -0.02299961 -0.25507823 -0.12114923
  0.1072362   0.21076328 -0.02178919 -0.06073382 -0.31294134  0.05112068
  0.12619042 -0.07017928 -0.0708328   0.02189697  0.00472438 -0.14638974
 -0.11166807 -0.15891953 -0.27507174  0.20039415 -0.04146609 -0.01186296
 -0.0503859   0.47456616 -0.14875738 -0.07307967 -0.10953564 -0.19096495
  0.01727338 -0.00307813]","['united', 'peace', 'political', 'failed', 'development', 'whole', 'plan', 'implementation', 'parties', 'positive', 'general', 'discussion', 'stressed', 'cpc', 'zemin', 'jintao', 'first', 'among', 'efforts', 'may']"
year,"[-0.22259559 -0.02893731  0.16283603  0.0440851  -0.01549631  0.23891622
 -0.13795261 -0.06508896 -0.17006512  0.12073378 -0.01524735 -0.15073906
 -0.0915836  -0.1252985   0.02773646  0.09598552  0.07652638  0.13908325
  0.08734242 -0.19564469  0.05035323 -0.06717253 -0.18025565  0.07639678
  0.01355928  0.11373448  0.08068981  0.07171526 -0.05207455  0.14697535
  0.08537424  0.04790721 -0.05817244 -0.09987669  0.09652504  0.01259899
  0.03589187 -0.06859677 -0.06551634  0.30204165  0.07713036 -0.08229527
  0.02580709  0.04491455 -0.04832945  0.07211199  0.2416884  -0.02496104
 -0.17637691  0.14838189]","['zemin', 'failed', 'systems', 'plan', 'ninth', 'principle', 'among', 'question', 'importance', 'united', '1', 'stressed', 'exchanges', 'comrade', 'hard', 'conditions', 'kind', 'global', 'political', 'jintao']"
years,"[-0.15207739  0.08313286 -0.11293505  0.16701017 -0.14850734 -0.19288975
  0.20663229 -0.00770906  0.01027119 -0.18169565 -0.0777235   0.06615488
 -0.06440414 -0.16720147 -0.27214882 -0.06798362  0.0310249  -0.08036952
  0.10213669  0.23345163  0.04096306 -0.36852503  0.10450267  0.09527085
  0.10481461 -0.10244431 -0.07794385  0.24339028  0.02391083  0.07115924
 -0.04915566  0.30556595 -0.10410699 -0.07157674 -0.02998629 -0.19604227
 -0.00257404 -0.23672147 -0.03887882 -0.04160656  0.0684745  -0.21648516
  0.13679804  0.3811079   0.2971458   0.09021247 -0.19802126 -0.19523446
 -0.29396966  0.04801576]","['development', 'united', 'stressed', 'ninth', 'human', 'failed', 'inspection', 'able', 'chen', 'handling', 'province', 'positive', 'hope', 'community', 'well', 'changes', 'dialogue', 'plan', 'territorial', 'deputy']"
international,"[-0.0346252  -0.05159984  0.16395791 -0.28603432  0.10260743 -0.00739434
 -0.01256118  0.32681954  0.15314461 -0.05327138 -0.39616406  0.23036472
 -0.06997661 -0.13939735 -0.11957365  0.1346929  -0.05796934 -0.02048833
 -0.365707    0.00445834  0.43491235  0.04461588  0.29757485  0.04148395
 -0.2857506   0.24734943 -0.01588231 -0.31647488  0.16799332 -0.02743121
 -0.09553676  0.16375239 -0.6078274   0.00306024 -0.42066076  0.11920262
  0.00191976  0.17175779  0.10944379  0.17732252  0.20519492  0.556338
 -0.20719986 -0.13182314  0.11882254  0.27021188 -0.27447113  0.14466622
 -0.09955531 -0.03407614]","['things', 'leadership', 'activities', 'competition', 'equipment', 'regard', 'road', 'modernization', 'financial', 'always', 'sides', 'historical', 'using', 'failed', 'parties', 'meanwhile', 'russian', 'science', 'western', 'administrative']"
