单词,词向量,近似top20
work,"[ 7.18016922e-02 -5.42979985e-02  2.53182858e-01  5.23876324e-02
 -1.41716674e-01 -1.14765093e-01  9.83405560e-02  1.15355171e-01
 -1.77544430e-01  5.37698627e-01 -2.67928004e-01  3.95395041e-01
 -2.03833021e-02 -3.63936014e-02  2.18760893e-01 -1.25193581e-01
 -5.14156669e-02  2.98947066e-01  1.60781533e-01  3.23585011e-02
  1.59893557e-01 -1.20178185e-01 -6.18941523e-02  1.62370756e-01
 -3.60849112e-01  1.39069974e-01  3.80966514e-02 -8.28969479e-02
  1.32210359e-01 -1.51202768e-01 -6.44201832e-03  2.45139241e-01
  5.37619367e-02 -2.54703249e-04 -4.18441385e-01  1.77986431e-03
  1.63879722e-01 -6.14168085e-02  4.59584258e-02 -1.57394204e-02
 -9.59778577e-02  2.11463481e-01  1.61643043e-01 -1.69763062e-02
  2.39239708e-02 -1.85780808e-01  4.67854850e-02  1.15441099e-01
  1.48198053e-01  1.22279093e-01]","['results', 'believe', 'spirit', 'adopt', 'hongzhi', 'highlevel', 'exchange', 'department', 'environment', 'another', 'protecting', 'nature', 'therefore', 'structure', 'energy', 'maintained', 'establish', 'media', 'police', 'question']"
cooperation,"[ 0.16946577  0.21711239 -0.09857291 -0.03737113  0.0296187   0.05764883
  0.05569189 -0.04303517 -0.02430238 -0.07662277  0.08094584 -0.0461661
  0.21018603  0.05840078 -0.1454477   0.01825397 -0.08993785 -0.05069574
  0.25627857  0.0702885  -0.06185187  0.09081855  0.08627109  0.15249354
  0.09662606 -0.22253838  0.09642778  0.02630101 -0.30569467  0.17906123
 -0.02550008 -0.09509194 -0.02906626  0.19442895  0.01168088 -0.13096644
  0.01791759 -0.01669383 -0.1522922   0.1253581  -0.4320826  -0.10799814
 -0.20176078  0.44241458 -0.21894492  0.11515968  0.33713746  0.43663827
 -0.22475629 -0.27299824]","['basis', 'rural', 'members', 'struggle', 'member', 'says', 'agricultural', 'command', 'global', 'better', 'peninsula', 'minister', 'chinese', 'attention', 'face', 'hand', 'science', 'shanghai', 'objective', 'caused']"
important,"[ 0.12028566  0.28121716 -0.05087763  0.34339815  0.18933317  0.32371348
  0.17770338 -0.02312688 -0.07794204 -0.10719506 -0.19555075  0.20938915
  0.09808541 -0.2767455  -0.3768059  -0.1898098  -0.20574075  0.16882524
 -0.5910345   0.10006527 -0.5118185   0.09180308  0.05889999 -0.22256854
 -0.06531633  0.0149863  -0.18938836  0.3896536  -0.21139355 -0.44036758
 -0.01979281 -0.03702862 -0.2298969  -0.0689173  -0.07930406 -0.399273
  0.14503892 -0.31715795 -0.02242037  0.0546695  -0.09570672 -0.07462718
  0.406868   -0.26919934 -0.17365748 -0.15848376 -0.20166528  0.06138349
 -0.19282496  0.24149634]","['favorable', 'hope', 'western', 'big', 'matters', 'making', 'wu', 'came', 'direct', 'spiritual', 'zhu', 'xinhua', 'stance', 'functions', 'methods', 'improvement', 'funds', 'indicated', 'qian', 'markets']"
national,"[-0.05929863  0.3220429   0.37308568 -0.3958261   0.30093232 -0.09343562
  0.5531269  -0.19341324 -0.17219505  0.2739873  -0.20409246  0.16946992
  0.04994794  0.40377477 -0.3260734   0.3494705  -0.09648994 -0.14107901
 -0.02366888  0.21227504 -0.18524191 -0.29095557 -0.17115186  0.15830089
 -0.16102071 -0.03140467  0.5897615   0.13083728  0.01146008  0.09620367
 -0.3080396  -0.0168473  -0.585629   -0.29759094 -0.05704028  0.21705158
  0.08798514  0.07458708 -0.1764597  -0.1616332  -0.1645807   0.09637158
  0.10592813 -0.426478   -0.526451    0.19785142  0.04859111 -0.04098604
  0.44877154  0.71998054]","['series', 'army', 'brought', 'products', 'low', 'concerned', 'others', 'strictly', 'forces', 'experts', 'difficulties', 'support', 'macao', 'act', 'commission', 'sinojapanese', 'antichina', 'rich', 'day', 'status']"
world,"[ 0.12101648  0.07003848 -0.02120914 -0.07189554 -0.1166448   0.11787429
  0.06686512  0.08904425 -0.14342068 -0.03108434 -0.01698276  0.06185238
 -0.01909878 -0.20730597 -0.00575866 -0.14327003 -0.07624222  0.06767478
  0.1977474  -0.01298079 -0.24931166  0.1297631   0.1565734   0.09627553
  0.09734921 -0.3148743   0.06221919  0.10810053 -0.05922528  0.25316727
  0.00958979 -0.08402881 -0.13651152  0.1292969   0.36665925 -0.02438788
 -0.01969536  0.19556916 -0.08206409 -0.09101401  0.04296549 -0.19970106
 -0.11761504 -0.00749304 -0.16945194 -0.16734578 -0.27941316  0.09084605
 -0.06656939  0.07806654]","['financial', 'research', 'parties', 'global', 'high', 'dialogue', 'members', 'organization', 'science', 'percent', 'unity', 'production', 'implementing', 'rules', 'says', 'productive', 'could', 'regard', 'peace', 'europe']"
state,"[ 3.10083836e-01  2.59241611e-01  3.86367179e-02  4.57166843e-02
  1.40346512e-01 -1.63647726e-01  3.53894114e-01  2.57769614e-01
 -1.82195157e-01 -1.92382082e-01  1.14821553e-01 -1.62593663e-01
  2.97922671e-01 -6.70381188e-02 -3.20959021e-04  1.86491787e-01
  2.16841951e-01  6.65959567e-02  2.81411648e-01 -4.09458667e-01
  8.85273442e-02 -1.07800931e-01 -5.45367859e-02  8.14277232e-02
  3.57525423e-02 -1.25539243e-01 -2.00104356e-01 -9.96171162e-02
 -9.61926952e-02  7.01946914e-02 -2.33577952e-01 -6.36770055e-02
 -1.20964207e-01 -2.18239333e-02 -3.33972573e-02 -6.24005646e-02
  1.09723486e-01  1.37823597e-01 -1.01276979e-01  1.51255459e-01
 -8.23188648e-02  5.17293103e-02  7.42714256e-02 -2.19009444e-01
 -3.39220315e-01  2.75393784e-01  4.23547663e-02 -1.71338931e-01
  2.71723777e-01  1.80571645e-01]","['policy', 'regional', 'competition', 'deng', 'stresses', 'regard', 'natural', 'small', 'products', 'support', 'socalled', 'foundation', 'rural', 'independence', 'fields', 'effectively', 'institutions', 'nuclear', 'strong', 'views']"
country,"[ 0.0573344   0.0825062  -0.06061082  0.05073886 -0.16617787  0.1295845
 -0.10402098 -0.01699369 -0.07202694  0.26307753  0.00092421  0.02337636
  0.00789228 -0.02743378  0.04373103 -0.10492099 -0.08373536 -0.15034872
  0.20450047  0.15422149  0.15315703 -0.07417472 -0.10622733  0.04229658
  0.00932442 -0.05583625  0.01556652 -0.07379811 -0.00343048  0.02474036
 -0.11916347 -0.05726296 -0.01826963  0.01216121 -0.13849048  0.07603922
 -0.10177548  0.10604656 -0.11895099 -0.01558628 -0.11963855 -0.0536055
 -0.01246947  0.23722818  0.0511934  -0.1105016   0.07610653 -0.04228678
 -0.12538703 -0.12762275]","['resources', 'dialogue', 'province', 'hard', 'environment', 'develop', 'cult', 'workers', 'even', 'guarantee', 'members', 'command', 'diplomatic', 'drive', 'august', 'defense', 'task', 'part', 'wish', 'vice']"
year,"[ 0.03675141  0.10649341 -0.08781198 -0.18425584 -0.04269709  0.06340357
  0.19276999  0.03424249 -0.08002373  0.09785936  0.17413121  0.172741
 -0.06805249  0.17534234 -0.12059334  0.0837355   0.00432438  0.03290306
  0.00850653 -0.13771632 -0.20519774  0.08813854  0.07549246 -0.07168212
  0.07293767  0.01948903  0.03738904 -0.11593109 -0.03208164  0.13696003
  0.05441155  0.2269335   0.17363667  0.02699453 -0.11236024  0.11083128
 -0.19960886  0.00704392  0.09559904 -0.17480412 -0.13785565 -0.09549426
 -0.17260718  0.06142104  0.14785773  0.02445502  0.18107438  0.026015
 -0.07226068  0.05357165]","['responsible', 'next', 'premier', 'conditions', 'better', 'view', 'agricultural', 'hightech', 'stressed', 'members', 'contributions', 'internal', 'systems', 'basic', 'resources', 'peninsula', 'province', 'words', 'challenges', 'ways']"
years,"[-0.02525369 -0.02382272 -0.112122   -0.03124893  0.0502235   0.2300048
 -0.06430583 -0.06259755  0.1393394   0.09965426  0.08753651 -0.02066731
  0.18732913  0.22157495  0.01568777  0.03746049 -0.08669215  0.0868355
  0.06481674  0.01358286 -0.11942789  0.0335424   0.11083782 -0.13902704
  0.20326976 -0.01754247  0.03239971  0.04334576  0.05004879 -0.15130408
  0.1561816   0.10711774  0.26976     0.25588107 -0.10030086 -0.01556301
 -0.43677175 -0.03731396  0.03547251  0.0166767  -0.10574697  0.1532866
 -0.2139507  -0.03592914  0.32273954 -0.25497532  0.07610521  0.01810922
 -0.19834025  0.15406875]","['using', 'development', 'stressed', 'ninth', 'addition', 'view', 'responsible', 'internal', 'conditions', 'zemin', 'country', 'human', 'systems', 'workers', 'construction', 'contributions', 'shows', 'understanding', 'high', 'resources']"
international,"[ 0.04604798  0.45931062  0.12185042 -0.1561403   0.05824289 -0.04074096
  0.07810603 -0.38921267  0.07307258 -0.46952122  0.01153561 -0.384719
  0.09235331 -0.18797646 -0.1434767   0.2610024   0.06835981 -0.03430645
  0.00218049 -0.14146137 -0.15542285 -0.11982182 -0.3904977  -0.05051751
  0.08698612 -0.39436987  0.05747953  0.4755464   0.01255814  0.00509919
  0.05518444 -0.45651442 -0.5805385  -0.24722934  0.5883152   0.17764768
 -0.30090111  0.4483203  -0.22484477 -0.13196479  0.02902824 -0.21330477
 -0.14774103 -0.23274036 -0.43212533  0.00763087 -0.24361187  0.04471931
  0.07788087  0.39321193]","['however', 'raise', 'things', 'support', 'accept', 'implementing', 'zhu', 'profound', 'series', 'sides', 'leadership', 'allowed', 'could', 'national', 'policy', 'mechanism', 'leader', 'outstanding', 'ability', 'toward']"
